Date,Value,Ticker
04-01-10,77.52999877929688,DX-Y.NYB
05-01-10,77.62000274658203,DX-Y.NYB
06-01-10,77.48999786376953,DX-Y.NYB
07-01-10,77.91000366210938,DX-Y.NYB
08-01-10,77.47000122070312,DX-Y.NYB
01-01-10,0.11,FEDFUNDS
01-02-10,0.13,FEDFUNDS
01-03-10,0.16,FEDFUNDS
01-04-10,0.2,FEDFUNDS
01-05-10,0.2,FEDFUNDS
04-01-10,1117.699951171875,GC=F
05-01-10,1118.0999755859375,GC=F
06-01-10,1135.9000244140625,GC=F
07-01-10,1133.0999755859375,GC=F
08-01-10,1138.199951171875,GC=F
04-01-10,81.51000213623047,CL=F
05-01-10,81.7699966430664,CL=F
06-01-10,83.18000030517578,CL=F
07-01-10,82.66000366210938,CL=F
08-01-10,82.75,CL=F
04-01-10,1132.989990234375,^GSPC
05-01-10,1136.52001953125,^GSPC
06-01-10,1137.1400146484375,^GSPC
07-01-10,1141.68994140625,^GSPC
08-01-10,1144.97998046875,^GSPC
