Date,Value,Ticker
04-01-10,1117.699951171875,GC=F
05-01-10,1118.0999755859375,GC=F
06-01-10,1135.9000244140625,GC=F
07-01-10,1133.0999755859375,GC=F
08-01-10,1138.199951171875,GC=F
11-01-10,1150.699951171875,GC=F
12-01-10,1128.9000244140625,GC=F
13-01-10,1136.4000244140625,GC=F
14-01-10,1142.5999755859375,GC=F
15-01-10,1130.0999755859375,GC=F
19-01-10,1139.699951171875,GC=F
20-01-10,1112.300048828125,GC=F
21-01-10,1102.699951171875,GC=F
22-01-10,1089.199951171875,GC=F
25-01-10,1095.199951171875,GC=F
26-01-10,1097.9000244140625,GC=F
27-01-10,1084.4000244140625,GC=F
28-01-10,1083.5999755859375,GC=F
29-01-10,1083.0,GC=F
01-02-10,1104.300048828125,GC=F
02-02-10,1117.4000244140625,GC=F
03-02-10,1111.4000244140625,GC=F
04-02-10,1062.4000244140625,GC=F
05-02-10,1052.199951171875,GC=F
08-02-10,1065.699951171875,GC=F
09-02-10,1076.699951171875,GC=F
10-02-10,1075.800048828125,GC=F
11-02-10,1094.199951171875,GC=F
12-02-10,1089.5,GC=F
16-02-10,1119.300048828125,GC=F
17-02-10,1119.5,GC=F
18-02-10,1118.0,GC=F
19-02-10,1121.300048828125,GC=F
22-02-10,1112.5999755859375,GC=F
23-02-10,1102.699951171875,GC=F
24-02-10,1096.5,GC=F
25-02-10,1107.800048828125,GC=F
26-02-10,1118.300048828125,GC=F
01-03-10,1117.800048828125,GC=F
02-03-10,1136.9000244140625,GC=F
03-03-10,1142.699951171875,GC=F
04-03-10,1132.5999755859375,GC=F
05-03-10,1134.800048828125,GC=F
08-03-10,1123.5999755859375,GC=F
09-03-10,1122.0,GC=F
10-03-10,1107.800048828125,GC=F
11-03-10,1108.0,GC=F
12-03-10,1101.5,GC=F
15-03-10,1105.0999755859375,GC=F
16-03-10,1122.199951171875,GC=F
17-03-10,1124.0,GC=F
18-03-10,1127.4000244140625,GC=F
19-03-10,1107.4000244140625,GC=F
22-03-10,1099.300048828125,GC=F
23-03-10,1103.5,GC=F
24-03-10,1088.5999755859375,GC=F
25-03-10,1092.699951171875,GC=F
26-03-10,1104.199951171875,GC=F
29-03-10,1110.300048828125,GC=F
30-03-10,1104.5,GC=F
31-03-10,1113.300048828125,GC=F
01-04-10,1125.0999755859375,GC=F
05-04-10,1132.9000244140625,GC=F
06-04-10,1135.0999755859375,GC=F
07-04-10,1152.300048828125,GC=F
08-04-10,1152.199951171875,GC=F
09-04-10,1161.0999755859375,GC=F
12-04-10,1161.5999755859375,GC=F
13-04-10,1152.800048828125,GC=F
14-04-10,1159.0,GC=F
15-04-10,1159.699951171875,GC=F
16-04-10,1136.300048828125,GC=F
19-04-10,1135.199951171875,GC=F
20-04-10,1138.5999755859375,GC=F
21-04-10,1148.199951171875,GC=F
22-04-10,1142.300048828125,GC=F
23-04-10,1153.0999755859375,GC=F
26-04-10,1153.5,GC=F
27-04-10,1161.699951171875,GC=F
28-04-10,1171.300048828125,GC=F
29-04-10,1168.4000244140625,GC=F
30-04-10,1180.0999755859375,GC=F
03-05-10,1182.699951171875,GC=F
04-05-10,1168.5999755859375,GC=F
05-05-10,1174.5999755859375,GC=F
06-05-10,1196.9000244140625,GC=F
07-05-10,1210.0,GC=F
10-05-10,1200.4000244140625,GC=F
11-05-10,1219.9000244140625,GC=F
12-05-10,1242.699951171875,GC=F
13-05-10,1228.800048828125,GC=F
14-05-10,1227.4000244140625,GC=F
17-05-10,1227.699951171875,GC=F
18-05-10,1214.300048828125,GC=F
19-05-10,1192.5999755859375,GC=F
20-05-10,1187.800048828125,GC=F
21-05-10,1175.699951171875,GC=F
24-05-10,1193.800048828125,GC=F
25-05-10,1197.800048828125,GC=F
26-05-10,1213.300048828125,GC=F
27-05-10,1211.9000244140625,GC=F
28-05-10,1212.199951171875,GC=F
01-06-10,1224.800048828125,GC=F
02-06-10,1220.5999755859375,GC=F
03-06-10,1208.300048828125,GC=F
04-06-10,1216.199951171875,GC=F
07-06-10,1239.300048828125,GC=F
08-06-10,1244.0,GC=F
09-06-10,1228.5,GC=F
10-06-10,1220.800048828125,GC=F
11-06-10,1228.9000244140625,GC=F
14-06-10,1223.300048828125,GC=F
15-06-10,1233.199951171875,GC=F
16-06-10,1229.300048828125,GC=F
17-06-10,1247.5,GC=F
18-06-10,1257.199951171875,GC=F
21-06-10,1239.699951171875,GC=F
22-06-10,1239.9000244140625,GC=F
23-06-10,1234.0999755859375,GC=F
24-06-10,1245.5,GC=F
25-06-10,1255.800048828125,GC=F
28-06-10,1238.199951171875,GC=F
29-06-10,1242.0,GC=F
30-06-10,1245.5,GC=F
01-07-10,1206.300048828125,GC=F
02-07-10,1207.4000244140625,GC=F
06-07-10,1194.800048828125,GC=F
07-07-10,1198.5999755859375,GC=F
08-07-10,1195.800048828125,GC=F
09-07-10,1209.5999755859375,GC=F
12-07-10,1198.5,GC=F
13-07-10,1213.300048828125,GC=F
14-07-10,1206.800048828125,GC=F
15-07-10,1208.0999755859375,GC=F
16-07-10,1188.0,GC=F
19-07-10,1181.699951171875,GC=F
20-07-10,1191.5,GC=F
21-07-10,1191.5999755859375,GC=F
22-07-10,1195.5,GC=F
23-07-10,1187.699951171875,GC=F
26-07-10,1183.0,GC=F
27-07-10,1158.0,GC=F
28-07-10,1160.4000244140625,GC=F
29-07-10,1168.4000244140625,GC=F
30-07-10,1181.699951171875,GC=F
02-08-10,1183.4000244140625,GC=F
03-08-10,1185.199951171875,GC=F
04-08-10,1193.699951171875,GC=F
05-08-10,1197.199951171875,GC=F
06-08-10,1203.4000244140625,GC=F
09-08-10,1200.699951171875,GC=F
10-08-10,1196.199951171875,GC=F
11-08-10,1197.5,GC=F
12-08-10,1214.800048828125,GC=F
13-08-10,1214.9000244140625,GC=F
16-08-10,1224.5,GC=F
17-08-10,1226.5999755859375,GC=F
18-08-10,1229.699951171875,GC=F
19-08-10,1233.800048828125,GC=F
20-08-10,1227.199951171875,GC=F
23-08-10,1226.9000244140625,GC=F
24-08-10,1231.800048828125,GC=F
25-08-10,1239.5,GC=F
26-08-10,1235.4000244140625,GC=F
27-08-10,1236.0,GC=F
30-08-10,1237.0999755859375,GC=F
31-08-10,1248.300048828125,GC=F
01-09-10,1246.300048828125,GC=F
02-09-10,1251.5,GC=F
03-09-10,1249.199951171875,GC=F
07-09-10,1257.300048828125,GC=F
08-09-10,1255.5999755859375,GC=F
09-09-10,1248.9000244140625,GC=F
10-09-10,1244.5,GC=F
13-09-10,1245.0999755859375,GC=F
14-09-10,1269.699951171875,GC=F
15-09-10,1266.699951171875,GC=F
16-09-10,1271.9000244140625,GC=F
17-09-10,1275.5999755859375,GC=F
20-09-10,1279.0,GC=F
21-09-10,1272.4000244140625,GC=F
22-09-10,1290.199951171875,GC=F
23-09-10,1294.300048828125,GC=F
24-09-10,1296.0,GC=F
27-09-10,1296.699951171875,GC=F
28-09-10,1306.5999755859375,GC=F
29-09-10,1308.5,GC=F
30-09-10,1307.800048828125,GC=F
01-10-10,1316.0999755859375,GC=F
04-10-10,1315.4000244140625,GC=F
05-10-10,1338.9000244140625,GC=F
06-10-10,1346.4000244140625,GC=F
07-10-10,1333.9000244140625,GC=F
08-10-10,1344.199951171875,GC=F
11-10-10,1353.300048828125,GC=F
12-10-10,1345.699951171875,GC=F
13-10-10,1369.5,GC=F
14-10-10,1376.699951171875,GC=F
15-10-10,1371.0999755859375,GC=F
18-10-10,1371.199951171875,GC=F
19-10-10,1335.0999755859375,GC=F
20-10-10,1343.300048828125,GC=F
21-10-10,1324.699951171875,GC=F
22-10-10,1324.4000244140625,GC=F
25-10-10,1338.300048828125,GC=F
26-10-10,1338.0,GC=F
27-10-10,1322.199951171875,GC=F
28-10-10,1342.0999755859375,GC=F
29-10-10,1357.0999755859375,GC=F
01-11-10,1350.199951171875,GC=F
02-11-10,1356.4000244140625,GC=F
03-11-10,1337.0999755859375,GC=F
04-11-10,1382.699951171875,GC=F
05-11-10,1397.300048828125,GC=F
08-11-10,1402.800048828125,GC=F
09-11-10,1409.800048828125,GC=F
10-11-10,1399.0999755859375,GC=F
11-11-10,1403.0999755859375,GC=F
12-11-10,1365.4000244140625,GC=F
15-11-10,1368.4000244140625,GC=F
16-11-10,1338.300048828125,GC=F
17-11-10,1336.800048828125,GC=F
18-11-10,1352.9000244140625,GC=F
19-11-10,1352.199951171875,GC=F
22-11-10,1357.699951171875,GC=F
23-11-10,1377.5,GC=F
24-11-10,1372.9000244140625,GC=F
26-11-10,1362.300048828125,GC=F
29-11-10,1366.0,GC=F
30-11-10,1385.0,GC=F
01-12-10,1387.300048828125,GC=F
02-12-10,1388.5,GC=F
03-12-10,1405.4000244140625,GC=F
06-12-10,1415.300048828125,GC=F
07-12-10,1408.300048828125,GC=F
08-12-10,1382.5,GC=F
09-12-10,1392.0999755859375,GC=F
10-12-10,1384.300048828125,GC=F
13-12-10,1397.300048828125,GC=F
14-12-10,1403.5999755859375,GC=F
15-12-10,1385.5,GC=F
16-12-10,1370.4000244140625,GC=F
17-12-10,1378.5999755859375,GC=F
20-12-10,1385.5,GC=F
21-12-10,1388.199951171875,GC=F
22-12-10,1386.800048828125,GC=F
23-12-10,1380.0,GC=F
27-12-10,1382.4000244140625,GC=F
28-12-10,1405.199951171875,GC=F
29-12-10,1413.0999755859375,GC=F
30-12-10,1405.5999755859375,GC=F
31-12-10,1421.0999755859375,GC=F
03-01-11,1422.5999755859375,GC=F
04-01-11,1378.5,GC=F
05-01-11,1373.4000244140625,GC=F
06-01-11,1371.4000244140625,GC=F
07-01-11,1368.5,GC=F
10-01-11,1373.699951171875,GC=F
11-01-11,1384.0,GC=F
12-01-11,1385.699951171875,GC=F
13-01-11,1386.9000244140625,GC=F
14-01-11,1360.4000244140625,GC=F
18-01-11,1368.0999755859375,GC=F
19-01-11,1370.199951171875,GC=F
20-01-11,1346.5,GC=F
21-01-11,1341.0,GC=F
24-01-11,1344.5,GC=F
25-01-11,1332.300048828125,GC=F
26-01-11,1333.0,GC=F
27-01-11,1318.4000244140625,GC=F
28-01-11,1340.699951171875,GC=F
31-01-11,1333.800048828125,GC=F
01-02-11,1339.5999755859375,GC=F
02-02-11,1331.5,GC=F
03-02-11,1352.300048828125,GC=F
04-02-11,1348.300048828125,GC=F
07-02-11,1347.5999755859375,GC=F
08-02-11,1363.4000244140625,GC=F
09-02-11,1364.800048828125,GC=F
10-02-11,1361.9000244140625,GC=F
11-02-11,1359.9000244140625,GC=F
14-02-11,1364.5999755859375,GC=F
15-02-11,1373.5999755859375,GC=F
16-02-11,1374.699951171875,GC=F
17-02-11,1384.699951171875,GC=F
18-02-11,1388.199951171875,GC=F
22-02-11,1400.5,GC=F
23-02-11,1413.4000244140625,GC=F
24-02-11,1415.300048828125,GC=F
25-02-11,1408.699951171875,GC=F
28-02-11,1409.300048828125,GC=F
01-03-11,1430.699951171875,GC=F
02-03-11,1437.199951171875,GC=F
03-03-11,1416.0,GC=F
04-03-11,1428.199951171875,GC=F
07-03-11,1434.0999755859375,GC=F
08-03-11,1426.9000244140625,GC=F
09-03-11,1429.300048828125,GC=F
10-03-11,1412.199951171875,GC=F
11-03-11,1421.5,GC=F
14-03-11,1424.5999755859375,GC=F
15-03-11,1392.5999755859375,GC=F
16-03-11,1396.0,GC=F
17-03-11,1404.0,GC=F
18-03-11,1415.9000244140625,GC=F
21-03-11,1426.199951171875,GC=F
22-03-11,1427.5,GC=F
23-03-11,1437.9000244140625,GC=F
24-03-11,1434.800048828125,GC=F
25-03-11,1426.0999755859375,GC=F
28-03-11,1419.800048828125,GC=F
29-03-11,1416.0,GC=F
30-03-11,1423.800048828125,GC=F
31-03-11,1438.9000244140625,GC=F
01-04-11,1428.0999755859375,GC=F
04-04-11,1432.199951171875,GC=F
05-04-11,1451.800048828125,GC=F
06-04-11,1457.699951171875,GC=F
07-04-11,1458.5,GC=F
08-04-11,1473.4000244140625,GC=F
11-04-11,1467.4000244140625,GC=F
12-04-11,1452.9000244140625,GC=F
13-04-11,1454.9000244140625,GC=F
14-04-11,1471.699951171875,GC=F
15-04-11,1485.300048828125,GC=F
18-04-11,1492.300048828125,GC=F
19-04-11,1494.5,GC=F
20-04-11,1498.300048828125,GC=F
21-04-11,1503.199951171875,GC=F
25-04-11,1508.5999755859375,GC=F
26-04-11,1503.0,GC=F
27-04-11,1516.699951171875,GC=F
28-04-11,1530.800048828125,GC=F
29-04-11,1556.0,GC=F
02-05-11,1556.699951171875,GC=F
03-05-11,1540.0999755859375,GC=F
04-05-11,1514.9000244140625,GC=F
05-05-11,1480.9000244140625,GC=F
06-05-11,1491.199951171875,GC=F
09-05-11,1502.9000244140625,GC=F
10-05-11,1516.5999755859375,GC=F
